tg4510_tp3_10_20130523_UT,12.0015,9.99675,10.1182,0.523125,1.24875,0.8775,15.1335,47.9317,4.97812,6.72637,7.41487,3.75637,2.38275,58.9241,5.8995,16.7569,71.1112,6.89175,9.44325,0.880875,13.0039,0,10.0507,0.72225,1.3635,1.11375,16.1021,49.491,4.25925,0,7.88062,3.23325,2.23087,61.4014,6.32137,16.47,0,7.86375,9.48375,0.9045
tg4510_tp3_11_20130523_UT,12.987,10.8911,10.8776,0.563625,1.29937,0.948375,14.9614,45.7312,5.02875,7.34062,7.2765,3.20287,2.484,64.3714,6.36187,17.928,84.105,6.46312,8.289,0.8505,12.0757,0,9.477,0.6075,1.51537,1.38712,15.3157,48.0364,4.38075,0,7.94812,2.53125,2.68987,62.4881,5.80837,18.0022,0,6.21675,8.91675,0.968625
tg4510_tp3_1_20130520_WT,18.846,17.2462,17.9449,0.658125,1.78875,0.948375,17.8537,49.4235,5.69362,5.7375,8.41387,4.3605,2.00137,91.233,7.66462,20.2466,86.4202,8.12025,10.0575,0.999,20.3749,0,17.415,0.732375,1.863,1.47487,18.8055,49.4336,6.01087,0,8.26537,4.10062,2.25112,92.4345,7.30012,21.1646,0,9.13612,9.57487,1.1475
tg4510_tp3_12_20130524_UT,12.7204,10.8877,10.1149,0.529875,1.30275,1.04962,14.904,52.2619,4.293,11.6167,7.128,3.86775,2.26125,60.9424,6.3585,16.2101,98.2665,6.83775,8.31262,1.71112,13.1625,0,10.0507,0.60075,1.3905,1.32637,16.0954,57.159,4.61025,0,8.3295,3.90825,2.214,64.6279,5.1435,16.7467,0,6.40575,8.93025,1.728
tg4510_tp3_13_20130524_UT,12.0521,10.7966,9.94275,0.459,1.21162,0.891,15.7646,49.2311,5.1435,9.12937,8.0865,3.537,2.17012,59.0051,5.76787,16.956,97.1764,6.36862,8.75475,1.323,14.5564,0,9.68287,0.56025,1.21837,1.0665,16.308,51.9649,4.6845,0,8.09325,3.47625,2.03175,63.4061,5.57212,15.5959,0,8.0595,8.93362,1.25212
tg4510_tp3_14_20130524_UT,14.31,11.5931,9.57487,0.469125,1.2285,0.91125,13.635,44.3239,4.66087,10.6042,7.47562,3.54037,1.90012,58.4854,5.67,17.3374,94.77,5.90287,8.073,1.26562,13.6991,0,9.29137,0.563625,1.31287,1.10025,15.3124,46.2814,4.65075,0,8.40037,3.76987,2.09925,59.7307,5.73075,15.4136,0,7.155,8.64,1.404
tg4510_tp3_15_20130525_WT,16.1595,16.1561,14.0704,0.50625,1.458,0.918,17.1956,50.3246,5.93325,5.8725,8.00212,4.13775,2.36925,83.8957,6.78037,18.3026,100.568,7.93125,9.10912,0.85725,17.5601,0,12.5381,0.631125,1.5255,1.15762,17.2395,49.8386,5.63962,0,8.73787,4.04662,2.4435,84.6889,6.49012,19.1295,0,8.82562,8.70075,0.955125
tg4510_tp3_16_20130525_UT,13.3852,11.4007,9.35887,0.51975,1.21837,1.08675,14.5496,47.952,5.5755,13.635,7.61737,3.3885,2.60887,59.3629,5.92987,14.9344,96.2752,6.777,8.559,1.269,15.4609,0,10.1452,0.570375,1.42425,1.42087,16.8244,49.6429,4.995,0,8.21812,3.26025,2.75062,60.4766,6.67912,16.2742,0,7.03687,9.504,1.34325
tg4510_tp3_17_20130525_UT,12.7642,11.1341,9.53775,0.43875,1.2285,1.06312,14.6644,46.5716,4.779,8.5455,7.6005,3.23662,1.7145,59.3291,5.697,14.661,96.1267,6.34837,8.5455,1.03612,13.5709,0,8.36662,0.516375,1.1475,0.934875,15.8591,47.9014,4.04662,0,8.5725,3.6585,1.6605,63.7807,5.751,14.1851,0,6.86137,8.29912,1.053
tg4510_tp3_18_20130526_TT,15.6465,12.5111,11.5222,0.543375,1.27575,0.941625,15.0626,50.0546,5.01187,7.452,8.04937,4.06012,2.20387,71.1889,6.53062,19.8821,95.0535,6.46312,8.43412,0.948375,15.5317,0,10.665,0.631125,1.3095,1.17787,16.7569,52.0425,4.74187,0,8.60962,4.3065,2.133,71.2462,5.68687,19.4839,0,7.43175,8.96737,0.995625
tg4510_tp3_20_20130529_TT,16.6387,13.8544,12.3289,0.523125,1.46812,1.07325,16.6016,43.551,5.56537,5.16037,7.13812,3.62475,1.863,75.4211,7.48237,16.686,89.6974,7.22925,8.6805,0.813375,18.4781,0,11.2624,0.61425,1.64362,1.34662,17.1281,47.9351,4.79587,0,8.06625,3.78337,1.69425,73.0384,7.92112,17.2631,0,7.81312,8.65012,0.921375
tg4510_tp3_21_20130611_TT,14.4551,13.3616,11.0632,0.4995,1.23187,0.8775,15.6026,48.3705,5.06925,9.234,7.6545,3.23662,2.12287,68.0164,6.09187,18.2486,91.1081,6.26062,8.93025,1.18462,16.7501,0,10.4659,0.56025,1.31962,1.09687,17.0809,49.5922,5.05912,0,7.86037,3.35137,2.07225,68.0569,6.23362,17.334,0,7.69837,8.58262,1.17112
tg4510_tp3_22_20130611_TT,16.1325,13.311,10.9552,0.563625,1.27237,0.961875,16.3417,43.1291,5.85225,8.93362,7.73887,3.20625,2.0925,70.7062,6.57112,17.2226,94.338,6.63862,8.559,1.0935,15.8119,0,9.71325,0.590625,1.21837,1.25212,16.0886,46.0957,4.887,0,8.23837,3.402,2.03175,68.0366,6.01762,17.0134,0,7.06387,8.72775,1.11037
